eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode,Plot ,Transect,Method
NMS2,,Human Observation,1,1,individuals,present,Tipula sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,,,Genus,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS3,,Human Observation,6,6,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS3,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS3,,Human Observation,5,5,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS3,,Human Observation,3,3,individuals,present,Coenosia sp.,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Coenosia,,,Genus,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS3,,Human Observation,7,7,individuals,present,Hydrellia sp.,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,Hydrellia,,,Genus,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS4,,Human Observation,5,5,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS4,,Human Observation,2,2,individuals,present,Coenosia sp.,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Coenosia,,,Genus,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS4,,Human Observation,4,4,individuals,present,Tipula sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,,,Genus,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS4,,Human Observation,5,5,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS4,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS4,,Human Observation,3,3,individuals,present,Lonchoptera sp.,Animalia,Arthropoda,Insecta,Diptera,Lonchopteridae,Lonchoptera,,,Genus,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Alticini (Tribe),,,Tribe,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS4,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,,,larvae,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS4,,Human Observation,5,5,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS5,,Human Observation,1,1,individuals,present,Tipula sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,,,Genus,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS5,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS5,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS5,,Human Observation,1,1,individuals,present,Coenosia sp.,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Coenosia,,,Genus,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS5,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Sepsidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS5,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Arachnida,Trombidiformes,Bdellidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS5,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Agromyzidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS5,,Human Observation,1,1,individuals,present,Dicyrtoma fusca,Animalia,Arthropoda,Insecta,Symphypleona,Dicyrtomidae,Dicyrtoma,fusca,,Species,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS6,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS6,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS6,,Human Observation,3,3,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS6,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Coleoptera,,,,larvae,Order,Hayward & Hazel,,,North,Intermediate,Sweep-Netting
NMS7,,Human Observation,2,2,individuals,present,Tipula sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,,,Genus,Hayward,,,North,Intermediate,Sweep-Netting
NMS7,,Human Observation,1,1,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,,Species,Hayward,,,North,Intermediate,Sweep-Netting
NMS7,,Human Observation,7,7,individuals,present,,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,Family,Hayward,,,North,Intermediate,Sweep-Netting
NMS7,,Human Observation,2,2,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,,,,Family,Hayward,,,North,Intermediate,Sweep-Netting
NMS8,,Human Observation,1,1,individuals,present,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,Family,Hayward,,,North,Intermediate,Sweep-Netting
